600;05/03/2022;45764;10164;174.06;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000039811
600;10/03/2022;45764;10164;59.0;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000039922
600;10/03/2022;45764;10164;211.92;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000007486
600;12/03/2022;45764;10164;269.23;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000007508
600;12/03/2022;45764;10164;204.72;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000039969
600;14/03/2022;45764;10164;201.99;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000047313
600;14/03/2022;45764;10164;90.59;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000040000
600;15/03/2022;45764;10164;113.31;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000047341
600;19/03/2022;45764;10164;161.4;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000047423
600;19/03/2022;45764;10164;116.49;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000047441
600;24/03/2022;45764;10164;569.65;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000040232
600;24/03/2022;45764;10164;319.2;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000040237
600;24/03/2022;45764;10164;116.49;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000007639
600;25/03/2022;45764;10164;170.04;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000007651
600;26/03/2022;45764;10164;217.14;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000040262
600;29/03/2022;45764;10164;499.0;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000040312
600;29/03/2022;45764;10164;118.88;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000047583
600;30/03/2022;45764;10164;125.18;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000007689
600;31/03/2022;45764;10164;32.17;10.01;CART ELO CREDITO PAGSEGURO;NFC-e 000040363
600;01/03/2022;10221;10164;170.0;10.01;CART MASTERCARD PAGSEGURO;CNF 629977924 / RC 630125238 / NFC-e 000039723
600;01/03/2022;10221;10164;254.76;10.01;CART MASTERCARD PAGSEGURO;CNF 630093545 / RC 630217950 / NFC-e 000039729
600;01/03/2022;10221;10164;723.29;10.01;CART MASTERCARD PAGSEGURO;CNF 630216530 / RC 630391073 / NFC-e 000007373
600;02/03/2022;10221;10164;984.0;10.01;CART MASTERCARD PAGSEGURO;CNF 630381695 / NFC-e 000039749 / RC 630796339
600;02/03/2022;10221;10164;250.0;10.01;CART MASTERCARD PAGSEGURO;CNF 630393128 / RC 630663538 / NFC-e 000047060
600;02/03/2022;10221;10164;316.0;10.01;CART MASTERCARD PAGSEGURO;CNF 630559147 / RC 631253969 / NFe 000004920
600;02/03/2022;10221;10164;579.6;10.01;CART MASTERCARD PAGSEGURO;CNF 630704231 / RC 630858314 / NFC-e 000047064
600;03/03/2022;10221;10164;236.54;10.01;CART MASTERCARD PAGSEGURO;CNF 630767525 / RC 631064355 / NFC-e 000039765
600;03/03/2022;10221;10164;896.63;10.01;CART MASTERCARD PAGSEGURO;CNF 630767597 / NFe 000016962
600;03/03/2022;10221;10164;1904.76;10.01;CART MASTERCARD PAGSEGURO;CNF 630899558 / NFC-e 000007423
600;03/03/2022;10221;10164;574.57;10.01;CART MASTERCARD PAGSEGURO;CNF 631020743 / NFC-e 000047087 / RC 631471173
