"4o. Agrupamento","Descrição","Crédito","Emissão","Valor"
"Cart Hipercard Rede - 12345","CNF 220348574 / NFC-e 000026841",,"21/07/2019","922,2"
"Cart Hipercard Rede - 12345","NFC-e 000021648",,"06/07/2019","289,01"
"Cart Elo Credito Cielo","NFC-e 000022473",,"28/07/2019","500"
"Cart Mastercard Rede","CNF 112007797 / NFC-e 000025845",,"01/07/2019","1175,7"
"Cart Mastercard Rede","CNF 113485805 / NFC-e 000025846",,"01/07/2019","1099"
"Cart Mastercard Rede","CNF 115641473 / NFC-e 000025848",,"01/07/2019","1974,01"
"Cart Mastercard Rede","CNF 115739395 / NFC-e 000025798",,"01/07/2019","1240,4"
"Cart Mastercard Rede","CNF 115884452 / NFC-e 000025927",,"01/07/2019","1520,4"
"Cart Mastercard Rede","CNF 119047010 / NFC-e 000010067",,"01/07/2019","985,75"
"Cart Mastercard Rede","CNF 121718734 / NFe 000026949",,"02/07/2019","4039,6"
"Cart Mastercard Rede","CNF 124366505 / NFC-e 000025841",,"01/07/2019","1267,32"
"Cart Mastercard Rede","CNF 124624301 / NFC-e 000025930",,"02/07/2019","1715,18"
"Cart Mastercard Rede","CNF 125777224 / NFC-e 000025908",,"02/07/2019","1413,1"
"Cart Mastercard Rede","CNF 133677492 / NFC-e 000008494",,"03/07/2019","3164,64"
"Cart Mastercard Rede","CNF 135629389 / RC 133576240 / NFC-e 000021489",,"02/07/2019","116"
"Cart Mastercard Rede","CNF 139493616 / NFe 000026955",,"03/07/2019","1403,4"
"Cart Mastercard Rede","CNF 142107567 / RC 143996658 / NFC-e 000021940",,"03/07/2019","487"
"Cart Mastercard Rede","CNF 142258865 / NFC-e 000025924",,"03/07/2019","1439,7"
"Cart Mastercard Rede","CNF 144683273 / NFC-e 000025926",,"03/07/2019","1623,64"
"Cart Mastercard Rede","CNF 144683471 / NFC-e 000021548 / RC 150189989",,"04/07/2019","833,99"
"Cart Mastercard Rede","CNF 146185252 / RC 151524792 / NFC-e 000021986",,"04/07/2019","1317,8"
"Cart Mastercard Rede","CNF 146185342 / NFC-e 000026016",,"04/07/2019","1290,24"
"Cart Mastercard Rede","CNF 146301819 / RC 147221229 / NFC-e 000021964",,"03/07/2019","416"
"Cart Mastercard Rede","CNF 147195096 / NFC-e 000026021",,"04/07/2019","1272,58"
"Cart Mastercard Rede","CNF 148372169 / RC 152291349 / NFC-e 000021990",,"04/07/2019","167"
"Cart Mastercard Rede","CNF 153557821 / NFC-e 000026006",,"04/07/2019","1597,36"
"Cart Mastercard Rede","CNF 155201680 / RC 160005107 / NFC-e 000021585",,"05/07/2019","416"
"Cart Mastercard Rede","CNF 159256726 / NFC-e 000026029",,"05/07/2019","1198,8"
"Cart Mastercard Rede","CNF 162562067 / NFC-e 000026081",,"05/07/2019","1096,6"
"Cart Mastercard Rede","CNF 163599419 / RC 165420284 / NFC-e 000026039",,"05/07/2019","3076,7"
"Cart Mastercard Rede","CNF 163915949 / NFC-e 000026116",,"06/07/2019","1744"
"Cart Mastercard Rede","CNF 168046591 / NFC-e 000026167 / NFC-e 000022065",,"06/07/2019","738"
"Cart Mastercard Rede","CNF 174924395 / NFC-e 000026113",,"06/07/2019","188,84"
"Cart Mastercard Rede","CNF 176092720 / RC 178241553 / NFC-e 000022098",,"06/07/2019","596,99"
"Cart Mastercard Rede","CNF 177309866 / RC 178241349 / NFC-e 000021654",,"06/07/2019","48,82"
"Cart Mastercard Rede","CNF 177704725 / NFe 000026962",,"06/07/2019","1237,01"
"Cart Mastercard Rede","CNF 178274359 / NFC-e 000026121",,"06/07/2019","1229"
"Cart Mastercard Rede","CNF 179420989 / NFC-e 000026124",,"07/07/2019","1507,28"
"Cart Mastercard Rede","CNF 180251192 / RC 184085853 / NFC-e 000022353",,"16/07/2019","332"
"Cart Mastercard Rede","CNF 180251255 / RC 184984316 / RC 184984397 / NFC-e 000022355",,"16/07/2019","286,75"
"Cart Mastercard Rede","CNF 180405331 / NFC-e 000026548",,"16/07/2019","1637,5"
"Cart Mastercard Rede","CNF 186669504 / NFC-e 000026736",,"17/07/2019","1637,5"
"Cart Mastercard Rede","CNF 186828543 / NFC-e 000026732",,"17/07/2019","1096,08"
"Cart Mastercard Rede","CNF 192834714 / NFC-e 000022123 / RC 193311600",,"17/07/2019","615,7"
"Cart Mastercard Rede","CNF 193344788 / NFC-e 000026695",,"18/07/2019","1245,32"
"Cart Mastercard Rede","CNF 196176505 / RC 200030877 / NFC-e 000022397",,"18/07/2019","386"
"Cart Mastercard Rede","CNF 196176618 / NFC-e 000026726",,"18/07/2019","1662,54"
"Cart Mastercard Rede","CNF 197090483 / NFC-e 000022158 / RC 199690125",,"18/07/2019","440,35"
"Cart Mastercard Rede","CNF 197732412 / NFC-e 000022165 / RC 200894837",,"18/07/2019","2149,52"
"Cart Mastercard Rede","CNF 203475593 / NFC-e 000005265",,"19/07/2019","1619,35"
"Cart Mastercard Rede","CNF 203475766 / NFC-e 000010133",,"19/07/2019","959,8"
"Cart Mastercard Rede","CNF 205903932 / NFC-e 000026779",,"19/07/2019","1476,09"
"Cart Mastercard Rede","CNF 205903960 / NFC-e 000022205 / RC 207220741",,"19/07/2019","734,8"
"Cart Mastercard Rede","CNF 206715463 / RC 212370430 / NFC-e 000022415",,"20/07/2019","420,24"
"Cart Mastercard Rede","CNF 207160192 / RC 211575712 / NFC-e 000022425",,"20/07/2019","416,01"
"Cart Mastercard Rede","CNF 209504547 / NFC-e 000022216 / RC 209657794",,"19/07/2019","516,4"
"Cart Mastercard Rede","CNF 214639182 / NFC-e 000008831",,"20/07/2019","2136,36"
"Cart Mastercard Rede","CNF 216338440 / NFe 000027009",,"20/07/2019","206,86"
"Cart Mastercard Rede","CNF 216877654 / NFC-e 000022303",,"21/07/2019","450,4"
"Cart Mastercard Rede","CNF 217446237 / RC 220766514 / NFC-e 000022270",,"21/07/2019","420,24"
"Cart Mastercard Rede","CNF 218237812 / NFC-e 000026845",,"21/07/2019","2298,84"
"Cart Mastercard Rede","CNF 218237993 / NFC-e 000026846",,"21/07/2019","719,5"
"Cart Mastercard Rede","CNF 220775170 / NFe 000027012",,"21/07/2019","443,52"
"Cart Mastercard Rede","CNF 220811195 / RC 218958860 / NFC-e 000022294",,"21/07/2019","138,89"
"Cart Mastercard Rede","CNF 221210295 / NFC-e 000026875",,"21/07/2019","922,2"
"Cart Mastercard Rede","CNF 221699875 / RC 218966659 / NFC-e 000022469",,"21/07/2019","1251,7"
"Cart Mastercard Rede","CNF 223978437 / NFC-e 000022478 / RC 230181902",,"22/07/2019","219,7"
"Cart Mastercard Rede","CNF 233994546 / NFC-e 000022352 / RC 237724865",,"24/07/2019","1587"
"Cart Mastercard Rede","CNF 235169195 / RC 238125531 / NFC-e 000022498",,"24/07/2019","810,04"
"Cart Mastercard Rede","CNF 242438533 / NFC-e 000026996",,"24/07/2019","1144,7"
"Cart Mastercard Rede","CNF 242438671 / NFC-e 000022421",,"25/07/2019","379,38"
"Cart Mastercard Rede","CNF 242859288 / NFC-e 000026992",,"25/07/2019","1155,36"
"Cart Mastercard Rede","CNF 243921942 / NFC-e 000027047",,"25/07/2019","1425,1"
"Cart Mastercard Rede","CNF 247069907 / NFC-e 000027046",,"25/07/2019","334,14"
"Cart Mastercard Rede","CNF 248467859 / NFC-e 000022540 / NFC-e 000022522",,"25/07/2019","1055"
"Cart Mastercard Rede","CNF 252820780 / NFe 000013024",,"25/07/2019","4119,12"
"Cart Mastercard Rede","CNF 252820803 / NFC-e 000005704",,"25/07/2019","1016,63"
"Cart Mastercard Rede","CNF 252820817 / NFC-e 000016900",,"25/07/2019","1029,11"
"Cart Mastercard Rede","CNF 252820945 / NFC-e 000022542",,"26/07/2019","350,6"
"Cart Mastercard Rede","CNF 253046556 / NFC-e 000022536 / RC 254416574",,"26/07/2019","495,72"
"Cart Mastercard Rede","CNF 253892951 / NFC-e 000027082",,"26/07/2019","500,16"
"Cart Mastercard Rede","CNF 257135295 / NFC-e 000015418",,"26/07/2019","69,39"
"Cart Mastercard Rede","CNF 259197099 / NFC-e 000027157",,"26/07/2019","1145,4"
"Cart Mastercard Rede","CNF 259237027 / NFC-e 000010883",,"27/07/2019","816,01"
"Cart Mastercard Rede","CNF 259730682 / NFC-e 000027084",,"26/07/2019","366"
"Cart Mastercard Rede","CNF 260606868 / NFe 000007115",,"27/07/2019","2177,1"
"Cart Mastercard Rede","CNF 260606913 / NFC-e 000027166",,"27/07/2019","1814,2"
"Cart Mastercard Rede","CNF 264839306 / NFC-e 000027115 / NFC-e 000022503",,"27/07/2019","1700"
"Cart Mastercard Rede","CNF 264839393 / NFC-e 000027112",,"27/07/2019","1602,65"
"Cart Mastercard Rede","CNF 265861584 / NFC-e 000027423",,"27/07/2019","138,78"
"Cart Mastercard Rede","CNF 266759078 / NFC-e 000010241",,"28/07/2019","1072,32"
"Cart Mastercard Rede","CNF 269616597 / NFC-e 000027258",,"29/07/2019","1721,7"
"Cart Mastercard Rede","CNF 275539491 / NFC-e 000027254",,"29/07/2019","1205,6"
"Cart Mastercard Rede","CNF 281400079 / NFe 000027040",,"30/07/2019","539,5"
"Cart Mastercard Rede","CNF 281400156 / NFC-e 000022634",,"30/07/2019","320"
"Cart Mastercard Rede","CNF 287047477 / NFC-e 000022552 / RC 400510987",,"30/07/2019","1428,99"
"Cart Mastercard Rede","CNF 306807140 / NFC-e 000010444",,"18/07/2019","583,16"
"Cart Mastercard Rede","CNF 373988808 / NFC-e 000027194",,"29/07/2019","759,01"
"Cart Mastercard Rede","CNF 375206983 / NFe 000027035",,"28/07/2019","165,28"
"Cart Mastercard Rede","CNF 376450052 / NFC-e 000026551",,"15/07/2019","1716"
"Cart Mastercard Rede","CNF 413879826 / NFC-e 000022654 / RC 415441766",,"31/07/2019","239,7"
"Cart Mastercard Rede","CNF 414146403 / RC 416763074 / NFC-e 000022663",,"31/07/2019","596,99"
"Cart Mastercard Rede","CNF 1355299774 / NFC-e 000026523",,"13/07/2019","1697,2"
"Cart Mastercard Rede","CNF 1359497767 / NFC-e 000022244 / RC 1372203419",,"13/07/2019","1598,5"
"Cart Mastercard Rede","CNF 1369653168 / RC 1374650761 / NFC-e 000021988",,"14/07/2019","458,99"
"Cart Mastercard Rede","CNF 1372643600 / NFC-e 000022275 / RC 1373731125",,"14/07/2019","237,2"
"Cart Mastercard Rede","CNF 1376627743 / NFe 000026986",,"15/07/2019","418,92"
"Cart Mastercard Rede","CNF 1376713331 / NFe 000026989",,"15/07/2019","507,6"
"Cart Mastercard Rede","CNF 1376727636 / RC 369968708 / NFC-e 000022020",,"15/07/2019","586,2"
"Cart Mastercard Rede","CNF 1385013108 / NFC-e 000014477",,"16/07/2019","1104,84"
"Cart Mastercard Rede","CNF 1404181138 / NFC-e 000026667",,"16/07/2019","419"
"Cart Mastercard Rede","CNF 1410180064 / NFC-e 000010761",,"16/07/2019","815,86"
"Cart Mastercard Rede","CNF 1410251220 / RC 177197854 / NFC-e 000022119",,"07/07/2019","647"
"Cart Mastercard Rede","CNF 1410289287 / NFC-e 000022127 / RC 1420107768",,"08/07/2019","1083,99"
"Cart Mastercard Rede","CNF 1410596412 / NFC-e 000026231",,"07/07/2019","1520,4"
"Cart Mastercard Rede","CNF 1423945568 / NFC-e 000026295",,"09/07/2019","1113,6"
"Cart Mastercard Rede","CNF 1443254052 / NFC-e 000026229",,"08/07/2019","2370,88"
"Cart Mastercard Rede","CNF 1446016193 / NFC-e 000021777",,"09/07/2019","2282,4"
"Cart Mastercard Rede","CNF 1447391435 / NFC-e 000004557",,"09/07/2019","466,8"
"Cart Mastercard Rede","CNF 1455601925 / NFC-e 000026303",,"09/07/2019","761,3"
"Cart Mastercard Rede","CNF 1474238507 / NFe 000026969",,"09/07/2019","99"
"Cart Mastercard Rede","CNF 1474238634 / NFC-e 000021804 / RC 1477724522",,"09/07/2019","332"
"Cart Mastercard Rede","CNF 1475883749 / RC 1478380101 / NFC-e 000021805",,"09/07/2019","1439,28"
"Cart Mastercard Rede","CNF 1476446455 / NFC-e 000026297",,"09/07/2019","738,96"
"Cart Mastercard Rede","CNF 1477594495 / NFC-e 000026306",,"10/07/2019","2536,38"
"Cart Mastercard Rede","CNF 1478163890 / NFe 000026972",,"10/07/2019","388,96"
"Cart Mastercard Rede","CNF 1510726481 / NFC-e 000026316",,"10/07/2019","1580,1"
"Cart Mastercard Rede","CNF 1512232625 / NFC-e 000011661 / NFC-e 000021835",,"10/07/2019","860,04"
"Cart Mastercard Rede","CNF 1513054438 / NFC-e 000026340",,"10/07/2019","457,4"
"Cart Mastercard Rede","CNF 1513674807 / RC 1514799598 / NFC-e 000021850",,"10/07/2019","601,9"
"Cart Mastercard Rede","CNF 1513674915 / NFC-e 000026335",,"10/07/2019","2263,7"
"Cart Mastercard Rede","CNF 1514446119 / RC 1354522698 / RC 1354522751 / NFC-e 000026418",,"11/07/2019","1782,97"
"Cart Mastercard Rede","CNF 1514446230 / RC 1526176805 / NFC-e 000022202",,"11/07/2019","518,8"
"Cart Mastercard Rede","CNF 1515035163 / NFC-e 000026317",,"10/07/2019","798,5"
"Cart Mastercard Rede","CNF 1515043374 / NFe 000026976",,"11/07/2019","699"
"Cart Mastercard Rede","CNF 1525420943 / NFC-e 000026423",,"11/07/2019","866,1"
"Cart Mastercard Rede","CNF 1528832414 / NFC-e 000021927 / RC 1529857954",,"11/07/2019","140,56"
"Cart Mastercard Rede","NFC-e 000021421",,"01/07/2019","219,4"
"Cart Mastercard Rede","NFC-e 000021415",,"01/07/2019","549,01"
"Cart Mastercard Rede","NFC-e 000021881",,"01/07/2019","215,56"
"Cart Mastercard Rede","NFC-e 000021882",,"01/07/2019","494,11"
"Cart Mastercard Rede","NFC-e 000021418",,"01/07/2019","299,01"
"Cart Mastercard Rede","NFC-e 000021419",,"01/07/2019","72,09"
"Cart Mastercard Rede","NFC-e 000021884",,"01/07/2019","562,16"
"Cart Mastercard Rede","NFC-e 000021891",,"01/07/2019","389,01"
"Cart Mastercard Rede","NFC-e 000021429",,"01/07/2019","178,24"
"Cart Mastercard Rede","NFC-e 000021430",,"01/07/2019","202,12"
"Cart Mastercard Rede","NFC-e 000021895",,"01/07/2019","741,96"
"Cart Mastercard Rede","NFC-e 000021441",,"01/07/2019","117,78"
"Cart Mastercard Rede","NFC-e 000021450",,"02/07/2019","501,94"
"Cart Mastercard Rede","NFC-e 000021468",,"02/07/2019","840,96"
"Cart Mastercard Rede","NFC-e 000021470",,"02/07/2019","1158,8"
"Cart Mastercard Rede","NFC-e 000021474",,"02/07/2019","562,16"
"Cart Mastercard Rede","NFC-e 000021479",,"02/07/2019","99,01"
"Cart Mastercard Rede","NFC-e 000021480",,"02/07/2019","298,56"
"Cart Mastercard Rede","NFC-e 000021911",,"02/07/2019","397,09"
"Cart Mastercard Rede","NFC-e 000021920",,"02/07/2019","129,01"
"Cart Mastercard Rede","NFC-e 000021464",,"02/07/2019","99,01"
"Cart Mastercard Rede","NFC-e 000021932",,"02/07/2019","57,6"
"Cart Mastercard Rede","NFC-e 000021933",,"02/07/2019","1250"
"Cart Mastercard Rede","NFC-e 000021924",,"02/07/2019","789,01"
"Cart Mastercard Rede","NFC-e 000021930",,"02/07/2019","110,12"
"Cart Mastercard Rede","NFC-e 000021942",,"12/07/2019","70,11"
"Cart Mastercard Rede","NFC-e 000021946",,"12/07/2019","499,01"
"Cart Mastercard Rede","NFC-e 000022232",,"12/07/2019","217,7"
"Cart Mastercard Rede","NFC-e 000021951",,"12/07/2019","379"
"Cart Mastercard Rede","NFC-e 000021950",,"12/07/2019","289,01"
"Cart Mastercard Rede","NFC-e 000021948",,"12/07/2019","201,48"
"Cart Mastercard Rede","NFC-e 000021953",,"12/07/2019","299"
"Cart Mastercard Rede","NFC-e 000021956",,"12/07/2019","1288,96"
"Cart Mastercard Rede","NFC-e 000021959",,"13/07/2019","159,01"
"Cart Mastercard Rede","NFC-e 000021960",,"13/07/2019","1392,9"
"Cart Mastercard Rede","NFC-e 000022236",,"13/07/2019","269,58"
"Cart Mastercard Rede","NFC-e 000022238",,"13/07/2019","259,01"
"Cart Mastercard Rede","NFC-e 000022240",,"13/07/2019","607,5"
"Cart Mastercard Rede","NFC-e 000021935",,"02/07/2019","201,48"
"Cart Mastercard Rede","NFC-e 000021488",,"02/07/2019","169,92"
"Cart Mastercard Rede","NFC-e 000022242",,"13/07/2019","1320,17"
"Cart Mastercard Rede","NFC-e 000021987",,"14/07/2019","447,1"
"Cart Mastercard Rede","NFC-e 000022265",,"14/07/2019","299"
"Cart Mastercard Rede","NFC-e 000021969",,"13/07/2019","117,78"
"Cart Mastercard Rede","NFC-e 000022248",,"13/07/2019","99"
"Cart Mastercard Rede","NFC-e 000022259",,"13/07/2019","201,48"
"Cart Mastercard Rede","NFC-e 000022262",,"14/07/2019","379"
"Cart Mastercard Rede","NFC-e 000022252",,"13/07/2019","193,35"
"Cart Mastercard Rede","NFC-e 000021979",,"13/07/2019","1349,01"
"Cart Mastercard Rede","NFC-e 000021983",,"13/07/2019","1822,68"
"Cart Mastercard Rede","NFC-e 000021974",,"13/07/2019","379,01"
"Cart Mastercard Rede","NFC-e 000021981",,"13/07/2019","129,01"
"Cart Mastercard Rede","NFC-e 000022256",,"13/07/2019","167,6"
"Cart Mastercard Rede","NFC-e 000022311",,"15/07/2019","949,01"
"Cart Mastercard Rede","NFC-e 000022025",,"15/07/2019","379,01"
"Cart Mastercard Rede","NFC-e 000022026",,"15/07/2019","99"
"Cart Mastercard Rede","NFC-e 000022286",,"14/07/2019","839,01"
"Cart Mastercard Rede","NFC-e 000021995",,"14/07/2019","1044,16"
"Cart Mastercard Rede","NFC-e 000021997",,"14/07/2019","159"
"Cart Mastercard Rede","NFC-e 000022291",,"14/07/2019","169,01"
"Cart Mastercard Rede","NFC-e 000022001",,"14/07/2019","99"
"Cart Mastercard Rede","NFC-e 000022003",,"14/07/2019","149"
"Cart Mastercard Rede","NFC-e 000022276",,"14/07/2019","369,87"
"Cart Mastercard Rede","NFC-e 000022279",,"14/07/2019","539,5"
"Cart Mastercard Rede","NFC-e 000022281",,"14/07/2019","141,87"
"Cart Mastercard Rede","NFC-e 000022290",,"14/07/2019","201,48"
"Cart Mastercard Rede","NFC-e 000022296",,"14/07/2019","161,91"
"Cart Mastercard Rede","NFC-e 000022297",,"14/07/2019","167,6"
"Cart Mastercard Rede","NFC-e 000022021",,"15/07/2019","713,5"
"Cart Mastercard Rede","NFC-e 000022008",,"15/07/2019","122,72"
"Cart Mastercard Rede","NFC-e 000022011",,"15/07/2019","3996,88"
"Cart Mastercard Rede","NFC-e 000022314",,"15/07/2019","429"
"Cart Mastercard Rede","NFC-e 000022039",,"15/07/2019","149"
"Cart Mastercard Rede","NFC-e 000022043",,"15/07/2019","979,01"
"Cart Mastercard Rede","NFC-e 000022326",,"15/07/2019","217,7"
"Cart Mastercard Rede","NFC-e 000022323",,"15/07/2019","149,01"
"Cart Mastercard Rede","NFC-e 000022052",,"15/07/2019","215,56"
"Cart Mastercard Rede","NFC-e 000022053",,"15/07/2019","125,7"
"Cart Mastercard Rede","NFC-e 000021502",,"03/07/2019","70,11"
"Cart Mastercard Rede","NFC-e 000021504",,"03/07/2019","100,88"
"Cart Mastercard Rede","NFC-e 000021526",,"03/07/2019","99,01"
"Cart Mastercard Rede","NFC-e 000022329",,"16/07/2019","198,96"
"Cart Mastercard Rede","NFC-e 000022047",,"15/07/2019","130,8"
"Cart Mastercard Rede","NFC-e 000022049",,"15/07/2019","381,24"
"Cart Mastercard Rede","NFC-e 000022050",,"15/07/2019","29,61"
"Cart Mastercard Rede","NFe 000027051",,"16/07/2019","215,56"
"Cart Mastercard Rede","NFC-e 000022331",,"16/07/2019","599,01"
"Cart Mastercard Rede","NFe 000027052",,"16/07/2019","201,48"
"Cart Mastercard Rede","NFC-e 000022068",,"16/07/2019","359"
"Cart Mastercard Rede","NFC-e 000022080",,"16/07/2019","169,92"
"Cart Mastercard Rede","NFC-e 000021717",,"07/07/2019","99"
"Cart Mastercard Rede","NFC-e 000021718",,"07/07/2019","299"
"Cart Mastercard Rede","NFC-e 000022121",,"07/07/2019","70,67"
"Cart Mastercard Rede","NFC-e 000022125",,"08/07/2019","129,01"
"Cart Mastercard Rede","NFC-e 000021735",,"08/07/2019","390"
"Cart Mastercard Rede","NFC-e 000022130",,"08/07/2019","550,94"
"Cart Mastercard Rede","NFC-e 000021747",,"08/07/2019","456,34"
"Cart Mastercard Rede","NFC-e 000021748",,"08/07/2019","810,05"
"Cart Mastercard Rede","NFC-e 000021517",,"03/07/2019","133,2"
"Cart Mastercard Rede","NFC-e 000021742",,"08/07/2019","549,01"
"Cart Mastercard Rede","NFC-e 000021749",,"08/07/2019","110,12"
"Cart Mastercard Rede","NFC-e 000022136",,"08/07/2019","679,01"
"Cart Mastercard Rede","NFC-e 000022139",,"08/07/2019","99"
"Cart Mastercard Rede","NFC-e 000022142",,"08/07/2019","722,02"
"Cart Mastercard Rede","NFC-e 000021754",,"08/07/2019","217,7"
"Cart Mastercard Rede","NFC-e 000021943",,"03/07/2019","388,96"
"Cart Mastercard Rede","NFC-e 000022138",,"08/07/2019","1100,94"
"Cart Mastercard Rede","NFC-e 000021753",,"08/07/2019","215,56"
"Cart Mastercard Rede","NFC-e 000021755",,"08/07/2019","1098,02"
"Cart Mastercard Rede","NFC-e 000021757",,"08/07/2019","80,73"
"Cart Mastercard Rede","NFC-e 000022147",,"08/07/2019","124,92"
"Cart Mastercard Rede","NFC-e 000022148",,"08/07/2019","39,5"
"Cart Mastercard Rede","NFC-e 000021760",,"08/07/2019","279,01"
"Cart Mastercard Rede","NFC-e 000022150",,"09/07/2019","73,04"
"Cart Mastercard Rede","NFC-e 000021766",,"09/07/2019","577,14"
"Cart Mastercard Rede","NFC-e 000022155",,"09/07/2019","509,01"
"Cart Mastercard Rede","NFC-e 000022159",,"09/07/2019","37,3"
"Cart Mastercard Rede","NFC-e 000021779",,"09/07/2019","343,75"
"Cart Mastercard Rede","NFC-e 000021780",,"09/07/2019","1237,01"
"Cart Mastercard Rede","NFC-e 000021783",,"09/07/2019","699,01"
"Cart Mastercard Rede","NFC-e 000021956",,"03/07/2019","167,6"
"Cart Mastercard Rede","NFC-e 000021960",,"03/07/2019","979,01"
"Cart Mastercard Rede","NFC-e 000021963",,"03/07/2019","1115,87"
"Cart Mastercard Rede","NFC-e 000021966",,"03/07/2019","1135,4"
"Cart Mastercard Rede","NFC-e 000021543",,"04/07/2019","359,96"
"Cart Mastercard Rede","NFC-e 000021797",,"09/07/2019","133,21"
"Cart Mastercard Rede","NFC-e 000021798",,"09/07/2019","149,01"
"Cart Mastercard Rede","NFC-e 000021786",,"09/07/2019","259,01"
"Cart Mastercard Rede","NFC-e 000021787",,"09/07/2019","259,01"
"Cart Mastercard Rede","NFC-e 000021795",,"09/07/2019","359,01"
"Cart Mastercard Rede","NFC-e 000021806",,"09/07/2019","250"
"Cart Mastercard Rede","NFC-e 000021823",,"10/07/2019","129,72"
"Cart Mastercard Rede","NFC-e 000022182",,"10/07/2019","959,01"
"Cart Mastercard Rede","NFC-e 000021816",,"09/07/2019","217,7"
"Cart Mastercard Rede","NFC-e 000021820",,"09/07/2019","186,1"
"Cart Mastercard Rede","NFC-e 000021818",,"09/07/2019","124,92"
"Cart Mastercard Rede","NFC-e 000021819",,"09/07/2019","1439,04"
"Cart Mastercard Rede","NFC-e 000022184",,"10/07/2019","279,01"
"Cart Mastercard Rede","NFC-e 000022190",,"10/07/2019","121,56"
"Cart Mastercard Rede","NFC-e 000022191",,"10/07/2019","42,08"
"Cart Mastercard Rede","NFC-e 000021545",,"04/07/2019","179,01"
"Cart Mastercard Rede","NFC-e 000021978",,"04/07/2019","169"
"Cart Mastercard Rede","NFC-e 000021980",,"04/07/2019","889,01"
"Cart Mastercard Rede","NFC-e 000021546",,"04/07/2019","299"
"Cart Mastercard Rede","NFC-e 000021983",,"04/07/2019","99"
"Cart Mastercard Rede","NFC-e 000021984",,"04/07/2019","37,3"
"Cart Mastercard Rede","NFC-e 000022188",,"10/07/2019","407,48"
"Cart Mastercard Rede","NFC-e 000021991",,"04/07/2019","169,92"
"Cart Mastercard Rede","NFC-e 000021992",,"04/07/2019","1086,2"
"Cart Mastercard Rede","NFC-e 000021994",,"04/07/2019","193,35"
"Cart Mastercard Rede","NFC-e 000021551",,"04/07/2019","149"
"Cart Mastercard Rede","NFC-e 000021552",,"04/07/2019","609,01"
"Cart Mastercard Rede","NFC-e 000021553",,"04/07/2019","609,01"
"Cart Mastercard Rede","NFC-e 000021995",,"04/07/2019","617,6"
"Cart Mastercard Rede","NFC-e 000021558",,"04/07/2019","59,01"
"Cart Mastercard Rede","NFC-e 000021555",,"04/07/2019","96,8"
"Cart Mastercard Rede","NFC-e 000021556",,"04/07/2019","217,7"
"Cart Mastercard Rede","NFC-e 000021836",,"10/07/2019","926,08"
"Cart Mastercard Rede","NFC-e 000021838",,"10/07/2019","449,52"
"Cart Mastercard Rede","NFC-e 000021834",,"10/07/2019","198,78"
"Cart Mastercard Rede","NFC-e 000021837",,"10/07/2019","609,01"
"Cart Mastercard Rede","NFC-e 000021845",,"10/07/2019","570,7"
"Cart Mastercard Rede","NFC-e 000021848",,"10/07/2019","94,32"
"Cart Mastercard Rede","NFC-e 000021847",,"10/07/2019","201,48"
"Cart Mastercard Rede","NFC-e 000021854",,"10/07/2019","99"
"Cart Mastercard Rede","NFC-e 000021896",,"11/07/2019","549,01"
"Cart Mastercard Rede","NFC-e 000021856",,"10/07/2019","99"
"Cart Mastercard Rede","NFC-e 000021855",,"10/07/2019","544,3"
"Cart Mastercard Rede","NFC-e 000021864",,"10/07/2019","140,24"
"Cart Mastercard Rede","NFC-e 000021852",,"10/07/2019","169,92"
"Cart Mastercard Rede","NFC-e 000021866",,"10/07/2019","45,5"
"Cart Mastercard Rede","NFC-e 000021875",,"11/07/2019","71,1"
"Cart Mastercard Rede","NFC-e 000021879",,"11/07/2019","100"
"Cart Mastercard Rede","NFC-e 000021899",,"11/07/2019","599"
"Cart Mastercard Rede","NFC-e 000021998",,"04/07/2019","457,1"
"Cart Mastercard Rede","NFC-e 000021562",,"04/07/2019","215,56"
"Cart Mastercard Rede","NFC-e 000021903",,"11/07/2019","209,76"
"Cart Mastercard Rede","NFC-e 000021906",,"11/07/2019","1130,4"
"Cart Mastercard Rede","NFC-e 000021915",,"11/07/2019","400"
"Cart Mastercard Rede","NFC-e 000022217",,"12/07/2019","453,24"
"Cart Mastercard Rede","NFC-e 000021930",,"12/07/2019","879,01"
"Cart Mastercard Rede","NFC-e 000021912",,"11/07/2019","196,06"
"Cart Mastercard Rede","NFC-e 000021924",,"11/07/2019","289,01"
"Cart Mastercard Rede","NFC-e 000021923",,"11/07/2019","379,01"
"Cart Mastercard Rede","NFC-e 000022214",,"12/07/2019","726,54"
"Cart Mastercard Rede","NFC-e 000021934",,"12/07/2019","201,48"
"Cart Mastercard Rede","NFC-e 000022224",,"12/07/2019","174,55"
"Cart Mastercard Rede","NFC-e 000021940",,"12/07/2019","459,01"
"Cart Mastercard Rede","NFC-e 000021932",,"12/07/2019","490,14"
"Cart Mastercard Rede","NFC-e 000022222",,"12/07/2019","85,26"
"Cart Mastercard Rede","NFC-e 000022223",,"12/07/2019","1267,32"
"Cart Mastercard Rede","NFC-e 000022225",,"12/07/2019","279"
"Cart Mastercard Rede","NFC-e 000022227",,"12/07/2019","85,56"
"Cart Mastercard Rede","NFC-e 000022231",,"12/07/2019","699"
"Cart Mastercard Rede","NFC-e 000021571",,"04/07/2019","215,56"
"Cart Mastercard Rede","NFC-e 000022008",,"05/07/2019","509,01"
